Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1733334069386,04/12/2024 17:41:09,1733316069386,-5,04/12/2024 07:41:09,187004,8,questionnaire-nzx6,,41804242,BLIND,12211521,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,759x774,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733334076772,04/12/2024 17:41:16,1733316076772,-5,04/12/2024 07:41:16,187004,8,questionnaire-nzx6,,41804242,BLIND,12211521,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,759x774,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733334076773,04/12/2024 17:41:16,1733316076773,-5,04/12/2024 07:41:16,187004,8,questionnaire-nzx6,,41804242,BLIND,12211521,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,759x774,,,0,Consent Form,4,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,7319,,,,
1,1733334094803,04/12/2024 17:41:34,1733316094803,-5,04/12/2024 07:41:34,187004,8,questionnaire-nzx6,,41804395,BLIND,12211553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x703,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733334252877,04/12/2024 17:44:12,1733316252877,-5,04/12/2024 07:44:12,187004,8,questionnaire-nzx6,,41804395,BLIND,12211553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x703,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733334252877,04/12/2024 17:44:12,1733316252877,-5,04/12/2024 07:44:12,187004,8,questionnaire-nzx6,,41804395,BLIND,12211553,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x703,,,0,Consent Form,4,Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,158027,,,,
1,1733334195300,04/12/2024 17:43:15,1733312595300,-6,04/12/2024 05:43:15,187004,8,questionnaire-nzx6,,41804417,BLIND,12211556,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2560x1440,2552x1314,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,BEGIN,,,,,
2,1733334271636,04/12/2024 17:44:31,1733312671636,-6,04/12/2024 05:44:31,187004,8,questionnaire-nzx6,,41804417,BLIND,12211556,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2560x1440,2552x1314,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733334271636,04/12/2024 17:44:31,1733312671636,-6,04/12/2024 05:44:31,187004,8,questionnaire-nzx6,,41804417,BLIND,12211556,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 131.0.0.0,2560x1440,2552x1314,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Accurate,,,,,,info,,END,76298,,,,
1,1733334206319,04/12/2024 17:43:26,1733305406319,-8,04/12/2024 01:43:26,187004,8,questionnaire-nzx6,,41804420,BLIND,12211564,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,633x639,,,0,Consent Form,4,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,BEGIN,,,,,
2,1733334214606,04/12/2024 17:43:34,1733305414606,-8,04/12/2024 01:43:34,187004,8,questionnaire-nzx6,,41804420,BLIND,12211564,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,633x639,,,0,Consent Form,4,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733334214606,04/12/2024 17:43:34,1733305414606,-8,04/12/2024 01:43:34,187004,8,questionnaire-nzx6,,41804420,BLIND,12211564,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1707x960,633x639,,,0,Consent Form,4,Accurate,1,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,,,,,info,,END,8264,,,,
1,1733334287107,04/12/2024 17:44:47,1733316287107,-5,04/12/2024 07:44:47,187004,8,questionnaire-nzx6,,41804457,BLIND,12211574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2560x1440,2560x1279,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,BEGIN,,,,,
2,1733334308922,04/12/2024 17:45:08,1733316308922,-5,04/12/2024 07:45:08,187004,8,questionnaire-nzx6,,41804457,BLIND,12211574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2560x1440,2560x1279,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733334308922,04/12/2024 17:45:08,1733316308922,-5,04/12/2024 07:45:08,187004,8,questionnaire-nzx6,,41804457,BLIND,12211574,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,2560x1440,2560x1279,,,0,Consent Form,4,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,,,,,info,,END,21783,,,,
1,1733335846917,04/12/2024 18:10:46,1733314246917,-6,04/12/2024 06:10:46,187004,8,questionnaire-nzx6,,41804942,BLIND,12211690,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1463x823,730x735,,,0,Consent Form,4,Inaccurate~Accurate,2,,Accurate,,,,,info,,BEGIN,,,,,
2,1733335852244,04/12/2024 18:10:52,1733314252244,-6,04/12/2024 06:10:52,187004,8,questionnaire-nzx6,,41804942,BLIND,12211690,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1463x823,730x735,,,0,Consent Form,4,Inaccurate~Accurate,2,,Accurate,Page 1,eouwsm,1,,response,participation-I Agree,1,,participation,Consent Form,5,object-11
3,1733335852245,04/12/2024 18:10:52,1733314252245,-6,04/12/2024 06:10:52,187004,8,questionnaire-nzx6,,41804942,BLIND,12211690,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1463x823,730x735,,,0,Consent Form,4,Inaccurate~Accurate,2,,Accurate,,,,,info,,END,5258,,,,
END OF FILE
