"","Participant.Private.ID","Task.Name","Trial.Number","Display","Response","Spreadsheet..img","Spreadsheet..type","Spreadsheet..memory","Tree.Node.Key","hits","fas","miss","crs","hit_rate","false_alarm_rate","APrime","d_prime"
"51",10773056,"Memory Task (Clone 3)",51,"image","4","7096db64fae6464d83aba73b658251b8.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"52",10773056,"Memory Task (Clone 3)",52,"image","4","fdda6cc29804708ad31e75527cd76e9c.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"53",10773056,"Memory Task (Clone 3)",53,"image","5","4e15898fb6cb711be8d1e1e816b03784.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"54",10773056,"Memory Task (Clone 3)",54,"image","5","NegMidNonsoc_23.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"55",10773056,"Memory Task (Clone 3)",55,"image","5","Lake 11.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"56",10773056,"Memory Task (Clone 3)",56,"image","1","9429c67f6cd1ee28595e7f303408801b.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"57",10773056,"Memory Task (Clone 3)",57,"image","2","fdba06ca0c1cd11d6ee0d98573e406e8.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"58",10773056,"Memory Task (Clone 3)",58,"image","2","1eafbbd1f74c8a605ae44aaa0c029ff5.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"59",10773056,"Memory Task (Clone 3)",59,"image","4","fec7756d48d357270fcfa030a36914be.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"60",10773056,"Memory Task (Clone 3)",60,"image","4","Landscapes_076_h.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"61",10773056,"Memory Task (Clone 3)",61,"image","4","52ffa3e5889e09af34e5fe0491aa89b8.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"62",10773056,"Memory Task (Clone 3)",62,"image","4","Grass 6.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"63",10773056,"Memory Task (Clone 3)",63,"image","4","NegMidNonsoc_20.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"64",10773056,"Memory Task (Clone 3)",64,"image","4","6cb2b2a420aafa64f282ef22e112d0b2.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"65",10773056,"Memory Task (Clone 3)",65,"image","5","Landscapes_032_v.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"66",10773056,"Memory Task (Clone 3)",66,"image","5","3e7d77afa0df3f55870ed51e1786d9dd.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"67",10773056,"Memory Task (Clone 3)",67,"image","6","3f2fd5456b6a728e77f9fbbc1107ab49.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"68",10773056,"Memory Task (Clone 3)",68,"image","1","3ed4c65eb4ba874e455ada92d56a3ff9.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"69",10773056,"Memory Task (Clone 3)",69,"image","1","2f07d5fc0d8464c81783119fa98c83ec.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"70",10773056,"Memory Task (Clone 3)",70,"image","4","4ac57136ce3cb26139934fb136585395.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"71",10773056,"Memory Task (Clone 3)",71,"image","4","Lightning 1.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"72",10773056,"Memory Task (Clone 3)",72,"image","4","fed68ff713db60eac84b65889ac38028.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"73",10773056,"Memory Task (Clone 3)",73,"image","4","fff1f99a649e3d1cfa2bd2097cae35e9.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"74",10773056,"Memory Task (Clone 3)",74,"image","1","3d59b2b50b93bc6789d97509f8441be6.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"75",10773056,"Memory Task (Clone 3)",75,"image","1","Landscapes_164_h.jpg","target","filler","task-tak4",0,1,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"76",10773056,"Memory Task (Clone 3)",76,"image","5","3e63504a056f9ae4d031ef5b232068fc.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"77",10773056,"Memory Task (Clone 3)",77,"image","5","1ff93f044a2f56339403ccc24740e14b.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"78",10773056,"Memory Task (Clone 3)",78,"image","5","Landscapes_033_h.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"79",10773056,"Memory Task (Clone 3)",79,"image","5","a3c07962576e26bf069a586249b4729d.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"80",10773056,"Memory Task (Clone 3)",80,"image","5","7a8791914e3ca49c66c1d6907761707b.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"81",10773056,"Memory Task (Clone 3)",81,"image","5","NegMidNonsoc_5.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"82",10773056,"Memory Task (Clone 3)",82,"image","1","fef52d08fa721202036106f66f1505ac.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"83",10773056,"Memory Task (Clone 3)",83,"image","6","Lava 1.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"84",10773056,"Memory Task (Clone 3)",84,"image","1","NegMidNonsoc_17.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
"85",10773056,"Memory Task (Clone 3)",85,"image","5","fe20fb1d85b9e167448d8579e2dc9afa.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"86",10773056,"Memory Task (Clone 3)",86,"image","5","4bdbc769d61a05c14ff2061b68ffd00e.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"87",10773056,"Memory Task (Clone 3)",87,"image","5","Landscapes_112_v.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"88",10773056,"Memory Task (Clone 3)",88,"image","5","3be1dc1cbac8f940252b3cb095d56548.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"89",10773056,"Memory Task (Clone 3)",89,"image","4","1e94ffb7f9974a4e16b4667988e5fe04.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"90",10773056,"Memory Task (Clone 3)",90,"image","6","d5b5180e8720bf487dc9154b77cb6821.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"91",10773056,"Memory Task (Clone 3)",91,"image","4","4c9b824221ea465e852f409c11d0bb60.jpg","target","filler","task-tak4",0,0,0,1,0.5,0.18,0.757560975609756,0.647260860875074
"92",10773056,"Memory Task (Clone 3)",92,"image","4","Landscapes_058_h.jpg","target","target","task-tak4",0,0,1,0,0.5,0.18,0.757560975609756,0.647260860875074
"93",10773056,"Memory Task (Clone 3)",93,"image","1","1ded6e97d0ad65c21ef12e8872f75185.jpg","target","target","task-tak4",1,0,0,0,0.5,0.18,0.757560975609756,0.647260860875074
