Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
21,1725476165382,04/09/2024 18:56:05,1725454565382,-6,04/09/2024 06:56:05,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,18,image,Screen 3,zz7hbh,1,response,3,6258.5,6242.800000000003,6258.5,6258.5,6242.800000000003,6258.5,1,6258.5,0,0,,Keyboard Response,Image,1,object-1907,image,24,3e7d77afa0df3f55870ed51e1786d9dd.jpg,target,J,,filler,
22,1725476169918,04/09/2024 18:56:09,1725454569918,-6,04/09/2024 06:56:09,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,19,image,Screen 3,zz7hbh,1,response,4,4551.499999982116,4545.300000000003,4551.499999982116,4551.499999982116,4545.300000000003,4551.499999982116,1,4551.499999982116,0,0,,Keyboard Response,Image,1,object-1907,image,31,6e2de1dd06b840fb0c30558af808c851.jpg,target,J,,filler,
23,1725476173843,04/09/2024 18:56:13,1725454573843,-6,04/09/2024 06:56:13,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,20,image,Screen 3,zz7hbh,1,response,2,3928.7999999999884,3912.2999999999884,3928.7999999999884,3928.7999999999884,3912.2999999999884,3928.7999999999884,1,3928.7999999999884,0,0,,Keyboard Response,Image,1,object-1907,image,320,fe20fb1d85b9e167448d8579e2dc9afa.jpg,target,J,,filler,
24,1725476175723,04/09/2024 18:56:15,1725454575723,-6,04/09/2024 06:56:15,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,21,image,Screen 3,zz7hbh,1,response,2,1899.1000000000058,1897.800000000003,1899.1000000000058,1899.1000000000058,1897.800000000003,1899.1000000000058,1,1899.1000000000058,0,0,,Keyboard Response,Image,1,object-1907,image,1751,fdda6cc29804708ad31e75527cd76e9c.jpg,target,F,,target,
25,1725476179544,04/09/2024 18:56:19,1725454579544,-6,04/09/2024 06:56:19,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,22,image,Screen 3,zz7hbh,1,response,2,3822.5999999821215,3812.600000000006,3822.5999999821215,3822.5999999821215,3812.600000000006,3822.5999999821215,1,3822.5999999821215,0,0,,Keyboard Response,Image,1,object-1907,image,391,fc7354a0bbef269140ce76bff20aa450.jpg,target,J,,filler,
26,1725476182408,04/09/2024 18:56:22,1725454582408,-6,04/09/2024 06:56:22,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,23,image,Screen 3,zz7hbh,1,response,2,2873.399999988076,2863.399999999994,2873.399999988076,2873.399999988076,2863.399999999994,2873.399999988076,1,2873.399999988076,0,0,,Keyboard Response,Image,1,object-1907,image,255,NegHighNonsoc_23.jpg,target,F,,target,
27,1725476188404,04/09/2024 18:56:28,1725454588404,-6,04/09/2024 06:56:28,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,24,image,Screen 3,zz7hbh,1,response,4,6006.0999999821215,5993.600000000006,6006.0999999821215,6006.0999999821215,5993.600000000006,6006.0999999821215,1,6006.0999999821215,0,0,,Keyboard Response,Image,1,object-1907,image,1911,06d26db007c559279f26819efcdd8c97.jpg,target,J,,filler,
28,1725476192061,04/09/2024 18:56:32,1725454592061,-6,04/09/2024 06:56:32,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,25,image,Screen 3,zz7hbh,1,response,5,3669.399999988076,3662.699999999997,3669.399999988076,3669.399999988076,3662.699999999997,3669.399999988076,1,3669.399999988076,0,0,,Keyboard Response,Image,1,object-1907,image,296,2fc170131665d79a6c9d0f52ae59bbce.jpg,target,J,,filler,
29,1725476195317,04/09/2024 18:56:35,1725454595317,-6,04/09/2024 06:56:35,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,26,image,Screen 3,zz7hbh,1,response,6,3262.699999999997,3246.199999999997,3262.699999999997,3262.699999999997,3246.199999999997,3262.699999999997,1,3262.699999999997,0,0,,Keyboard Response,Image,1,object-1907,image,55,7096db64fae6464d83aba73b658251b8.jpg,target,J,,filler,
30,1725476198515,04/09/2024 18:56:38,1725454598515,-6,04/09/2024 06:56:38,187932,2,task-6sfn,repeat-tj2w#1,39883515,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Memory Task (Clone 3),8,Accurate,memory_skips2,memory_skips2,27,image,Screen 3,zz7hbh,1,response,4,3214.8999999940424,3213.100000000006,3214.8999999940424,3214.8999999940424,3213.100000000006,3214.8999999940424,1,3214.8999999940424,0,0,,Keyboard Response,Image,1,object-1907,image,280,1eafbbd1f74c8a605ae44aaa0c029ff5.jpg,target,J,,filler,
