Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
23,1725476514207,04/09/2024 19:01:54,1725454914207,-6,04/09/2024 07:01:54,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,4,image,Screen 1,l8m57c,1,continue,,4984.000000017884,4977.800000000003,4984.000000017884,4984.000000017884,4977.800000000003,4984.000000017884,1,4984.000000017884,0,0,,Click To Continue,Continue Button,7,object-69,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
24,1725476514208,04/09/2024 19:01:54,1725454914208,-6,04/09/2024 07:01:54,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,4,image,Screen 1,l8m57c,1,response,5,2763.7000000000044,4977.800000000003,4985.000000017884,2763.7000000000044,4977.800000000003,4985.000000017884,1,2763.7000000000044,2221.30000001788,0,,Slider,Slider,4,object-51,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
25,1725476514212,04/09/2024 19:01:54,1725454914212,-6,04/09/2024 07:01:54,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,4,image,Screen 2,7vpf45,2,info,,11.5,0,11.5,11.5,0,11.5,1,11.5,0,0,,Slider,Slider,4,object-78,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
26,1725476518632,04/09/2024 19:01:58,1725454918632,-6,04/09/2024 07:01:58,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,4,image,Screen 2,7vpf45,2,continue,,4431.100000023842,4428.699999999997,4431.100000023842,4431.100000023842,4428.699999999997,4431.100000023842,1,4431.100000023842,0,0,,Click To Continue,Continue Button,7,object-82,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
27,1725476518634,04/09/2024 19:01:58,1725454918634,-6,04/09/2024 07:01:58,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,4,image,Screen 2,7vpf45,2,response,5,2097.5999999999985,4428.699999999997,4433.100000023842,2097.5999999999985,4428.699999999997,4433.100000023842,1,2097.5999999999985,2335.5000000238433,0,,Slider,Slider,4,object-78,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
28,1725476518643,04/09/2024 19:01:58,1725454918643,-6,04/09/2024 07:01:58,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,5,image,Screen 1,l8m57c,1,info,,13.400000023844768,0,13.400000023844768,13.400000023844768,0,13.400000023844768,1,13.400000023844768,0,0,,Slider,Slider,4,object-51,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,,J,,filler,
29,1725476525385,04/09/2024 19:02:05,1725454925385,-6,04/09/2024 07:02:05,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,5,image,Screen 1,l8m57c,1,continue,,6755.800000000003,6742.600000000006,6755.800000000003,6755.800000000003,6742.600000000006,6755.800000000003,1,6755.800000000003,0,0,,Click To Continue,Continue Button,7,object-69,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,,J,,filler,
30,1725476525385,04/09/2024 19:02:05,1725454925385,-6,04/09/2024 07:02:05,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,5,image,Screen 1,l8m57c,1,response,3,4627.9000000000015,6742.600000000006,6756.000000017884,4627.9000000000015,6742.600000000006,6756.000000017884,1,4627.9000000000015,2128.100000017883,0,,Slider,Slider,4,object-51,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,,J,,filler,
31,1725476525388,04/09/2024 19:02:05,1725454925388,-6,04/09/2024 07:02:05,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,5,image,Screen 2,7vpf45,2,info,,16.300000023838948,0,16.300000023838948,16.300000023838948,0,16.300000023838948,1,16.300000023838948,0,0,,Slider,Slider,4,object-78,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,,J,,filler,
32,1725476528269,04/09/2024 19:02:08,1725454928269,-6,04/09/2024 07:02:08,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,5,image,Screen 2,7vpf45,2,continue,,2897.500000011918,2896.5,2897.500000011918,2897.500000011918,2896.5,2897.500000011918,1,2897.500000011918,0,0,,Click To Continue,Continue Button,7,object-82,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,,J,,filler,
33,1725476528269,04/09/2024 19:02:08,1725454928269,-6,04/09/2024 07:02:08,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,5,image,Screen 2,7vpf45,2,response,4,1481.5999999999985,2896.5,2897.6000000059576,1481.5999999999985,2896.5,2897.6000000059576,1,1481.5999999999985,1416.000000005959,0,,Slider,Slider,4,object-78,image,1841,98e1de33aecf9079ec4fef36414a6b93.jpg,target,,J,,filler,
34,1725476528277,04/09/2024 19:02:08,1725454928277,-6,04/09/2024 07:02:08,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,6,image,Screen 1,l8m57c,1,info,,8.500000011918019,0,8.500000011918019,8.500000011918019,0,8.500000011918019,1,8.500000011918019,0,0,,Slider,Slider,4,object-51,image,375,c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg,target,,F,,target,
35,1725476531656,04/09/2024 19:02:11,1725454931656,-6,04/09/2024 07:02:11,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,6,image,Screen 1,l8m57c,1,continue,,3387.4000000178785,3379.699999999997,3387.4000000178785,3387.4000000178785,3379.699999999997,3387.4000000178785,1,3387.4000000178785,0,0,,Click To Continue,Continue Button,7,object-69,image,375,c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg,target,,F,,target,
36,1725476531658,04/09/2024 19:02:11,1725454931658,-6,04/09/2024 07:02:11,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,6,image,Screen 1,l8m57c,1,response,9,1931.3999999999942,3379.699999999997,3389.800000023839,1931.3999999999942,3379.699999999997,3389.800000023839,1,1931.3999999999942,1458.4000000238448,0,,Slider,Slider,4,object-51,image,375,c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg,target,,F,,target,
37,1725476531662,04/09/2024 19:02:11,1725454931662,-6,04/09/2024 07:02:11,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,6,image,Screen 2,7vpf45,2,info,,13.700000017881393,0,13.700000017881393,13.700000017881393,0,13.700000017881393,1,13.700000017881393,0,0,,Slider,Slider,4,object-78,image,375,c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg,target,,F,,target,
38,1725476535075,04/09/2024 19:02:15,1725454935075,-6,04/09/2024 07:02:15,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,6,image,Screen 2,7vpf45,2,continue,,3427.5,3413,3427.5,3427.5,3413,3427.5,1,3427.5,0,0,,Click To Continue,Continue Button,7,object-82,image,375,c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg,target,,F,,target,
39,1725476535076,04/09/2024 19:02:15,1725454935076,-6,04/09/2024 07:02:15,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,6,image,Screen 2,7vpf45,2,response,7,1082.0999999999985,3413,3428.2000000178814,1082.0999999999985,3413,3428.2000000178814,1,1082.0999999999985,2346.100000017883,0,,Slider,Slider,4,object-78,image,375,c71dcf7bdd9c98bf79ccbe7dda4e6a97.jpg,target,,F,,target,
40,1725476535085,04/09/2024 19:02:15,1725454935085,-6,04/09/2024 07:02:15,187932,2,task-e25r,repeat-tj2w#1,39883578,BLIND,11662162,,complete,,66d8ac51c4942ca4aaa8dd7f,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1372x772,1372x642,,,0,Subjective rating task (Clone),5,Accurate,emo_2_try,emo_2_try,7,image,Screen 1,l8m57c,1,info,,16.69999999999709,0,16.69999999999709,16.69999999999709,0,16.69999999999709,1,16.69999999999709,0,0,,Slider,Slider,4,object-51,image,319,Landscapes_070_h.jpg,target,,F,,target,
