Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
2,1725391870731,03/09/2024 19:31:10,1725373870731,-5,03/09/2024 09:31:10,187004,3,task-efz1,,39866066,BLIND,11658164,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x768,1024x641,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,11781.399999999994,11765.699999999997,11781.399999999994,11781.399999999994,11765.699999999997,11781.399999999994,1,11781.399999999994,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725391870752,03/09/2024 19:31:10,1725373870752,-5,03/09/2024 09:31:10,187004,3,task-efz1,,39866066,BLIND,11658164,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1024x768,1024x641,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725391826246,03/09/2024 19:30:26,1725373826246,-5,03/09/2024 09:30:26,187004,3,task-efz1,,39866067,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,1585x724,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725391841025,03/09/2024 19:30:41,1725373841025,-5,03/09/2024 09:30:41,187004,3,task-efz1,,39866067,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,1585x724,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,14798.405999999999,14783.505999999998,14798.405999999999,14798.405999999999,14783.505999999998,14798.405999999999,1,14798.405999999999,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725391841028,03/09/2024 19:30:41,1725373841028,-5,03/09/2024 09:30:41,187004,3,task-efz1,,39866067,BLIND,11658165,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1585x892,1585x724,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725391835626,03/09/2024 19:30:35,1725366635626,-7,03/09/2024 05:30:35,187004,3,task-efz1,,39866068,BLIND,11658166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725391872052,03/09/2024 19:31:12,1725366672052,-7,03/09/2024 05:31:12,187004,3,task-efz1,,39866068,BLIND,11658166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,36460.723999999995,36444.123999999996,36460.723999999995,36460.723999999995,36444.123999999996,36460.723999999995,1,36460.723999999995,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725391872057,03/09/2024 19:31:12,1725366672057,-7,03/09/2024 05:31:12,187004,3,task-efz1,,39866068,BLIND,11658166,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1536x864,1536x695,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1725392266852,03/09/2024 19:37:46,1725377866852,-4,03/09/2024 11:37:46,187004,3,task-efz1,,39866203,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1843x818,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1725392284948,03/09/2024 19:38:04,1725377884948,-4,03/09/2024 11:38:04,187004,3,task-efz1,,39866203,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1843x818,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,18110.02,18100.72,18110.02,18110.02,18100.72,18110.02,1,18110.02,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1725392284950,03/09/2024 19:38:04,1725377884950,-4,03/09/2024 11:38:04,187004,3,task-efz1,,39866203,BLIND,11658184,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1843x818,,,0,Study Welcome,13,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
