Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1726681369320,18/09/2024 17:42:49,1726659769320,-6,18/09/2024 05:42:49,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726681372377,18/09/2024 17:42:52,1726659772377,-6,18/09/2024 05:42:52,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,2262.8999999999996,2249.2,2262.8999999999996,2262.8999999999996,2249.2,2262.8999999999996,1,2262.8999999999996,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726681379590,18/09/2024 17:42:59,1726659779590,-6,18/09/2024 05:42:59,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,7226.899999988079,7214.099999999999,7226.899999988079,7226.899999988079,7214.099999999999,7226.899999988079,1,7226.899999988079,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1726681379616,18/09/2024 17:42:59,1726659779616,-6,18/09/2024 05:42:59,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.69999999999891,0,16.69999999999891,16.69999999999891,0,16.69999999999891,1,16.69999999999891,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726681384356,18/09/2024 17:43:04,1726659784356,-6,18/09/2024 05:43:04,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,4777.19999999404,4765.1,4777.19999999404,4777.19999999404,4765.1,4777.19999999404,1,4777.19999999404,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1726681384357,18/09/2024 17:43:04,1726659784357,-6,18/09/2024 05:43:04,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,8,3298.8999999999996,4765.1,4779.6,3298.8999999999996,4765.1,4779.6,1,3298.8999999999996,1480.7000000000007,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1726681384371,18/09/2024 17:43:04,1726659784371,-6,18/09/2024 05:43:04,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.799999999999272,0,16.799999999999272,16.799999999999272,0,16.799999999999272,1,16.799999999999272,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1726681387696,18/09/2024 17:43:07,1726659787696,-6,18/09/2024 05:43:07,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,3353.3999999910593,3348.7000000000007,3353.3999999910593,3353.3999999910593,3348.7000000000007,3353.3999999910593,1,3353.3999999910593,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1726681387697,18/09/2024 17:43:07,1726659787697,-6,18/09/2024 05:43:07,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,3,2015.7999999999993,3348.7000000000007,3354.7999999970198,2015.7999999999993,3348.7000000000007,3354.7999999970198,1,2015.7999999999993,1338.9999999970205,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1726681387701,18/09/2024 17:43:07,1726659787701,-6,18/09/2024 05:43:07,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40145903,BLIND,11716969,,complete,,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 128.0.0.0,1366x768,1366x599,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1726686045518,18/09/2024 19:00:45,1726660845518,-7,18/09/2024 05:00:45,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40147013,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726686048324,18/09/2024 19:00:48,1726660848324,-7,18/09/2024 05:00:48,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40147013,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,2693.4,2683.2999999999997,2693.4,2693.4,2683.2999999999997,2693.4,1,2693.4,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726686055950,18/09/2024 19:00:55,1726660855950,-7,18/09/2024 05:00:55,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40147013,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,7636.899999952317,7633.1,7636.899999952317,7636.899999952317,7633.1,7636.899999952317,1,7636.899999952317,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1726686055960,18/09/2024 19:00:55,1726660855960,-7,18/09/2024 05:00:55,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40147013,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,13.799999952316284,0,13.799999952316284,13.799999952316284,0,13.799999952316284,1,13.799999952316284,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726686061738,18/09/2024 19:01:01,1726660861738,-7,18/09/2024 05:01:01,187004,3,task-cax2,repeat-3dmk#2->-repeat-ku6w#2,40147013,BLIND,11716967,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x919,,,0,Subjective rating Practice,7,Inaccurate~Accurate,1,Inaccurate~Accurate,,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,5791.200000047684,5783.299999999999,5791.200000047684,5791.200000047684,5783.299999999999,5791.200000047684,1,5791.200000047684,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
