Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
2,1726683228519,18/09/2024 18:13:48,1726665228519,-5,18/09/2024 08:13:48,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,3440.652,3433.196,3440.652,3440.652,3433.196,3440.652,1,3440.652,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726683231512,18/09/2024 18:13:51,1726665231512,-5,18/09/2024 08:13:51,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3001.656000047684,3000.2919999999995,3001.656000047684,3001.656000047684,3000.2919999999995,3001.656000047684,1,3001.656000047684,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726683234186,18/09/2024 18:13:54,1726665234186,-5,18/09/2024 08:13:54,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,3,2674.7639999046332,2666.5600000000013,2674.7639999046332,2674.7639999046332,2666.5600000000013,2674.7639999046332,0,2674.7639999046332,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,0,1
5,1726683243810,18/09/2024 18:14:03,1726665243810,-5,18/09/2024 08:14:03,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,8632.844000047684,8616.733,8632.844000047684,8632.844000047684,8616.733,8632.844000047684,1,8632.844000047684,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,2
6,1726683251674,18/09/2024 18:14:11,1726665251674,-5,18/09/2024 08:14:11,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,5,6879.85099985695,6866.853999999999,6879.85099985695,6879.85099985695,6866.853999999999,6879.85099985695,1,6879.85099985695,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1726683252662,18/09/2024 18:14:12,1726665252662,-5,18/09/2024 08:14:12,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#1,40146197,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,
1,1726683273908,18/09/2024 18:14:33,1726665273908,-5,18/09/2024 08:14:33,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,40146209,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1726683275521,18/09/2024 18:14:35,1726665275521,-5,18/09/2024 08:14:35,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,40146209,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,1626.792,1616.6019999999999,1626.792,1626.792,1616.6019999999999,1626.792,1,1626.792,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1726683278511,18/09/2024 18:14:38,1726665278511,-5,18/09/2024 08:14:38,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,40146209,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3000.990000190735,2999.8799999999997,3000.990000190735,3000.990000190735,2999.8799999999997,3000.990000190735,1,3000.990000190735,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1726683281816,18/09/2024 18:14:41,1726665281816,-5,18/09/2024 08:14:41,187004,3,task-xcgh,repeat-3dmk#3->-repeat-tj2w#2,40146209,BLIND,11716961,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1366x768,663x683,,,0,Memory Practice Clone,7,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,3300.381000000002,3283.715000000001,3300.381000000002,3300.381000000002,3283.715000000001,3300.381000000002,1,3300.381000000002,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
