Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Spreadsheet: ans1,Spreadsheet: ans2,Spreadsheet: ans3,Spreadsheet: val1,Spreadsheet: val2,Spreadsheet: val3,Manipulation: Spreadsheet,Store: correct3,Store: total3
1,1726688959184,18/09/2024 19:49:19,1726663759184,-7,18/09/2024 05:49:19,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726688963625,18/09/2024 19:49:23,1726663763625,-7,18/09/2024 05:49:23,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,3622.19999999404,3617.1000000000004,3622.19999999404,3622.19999999404,3617.1000000000004,3622.19999999404,1,3622.19999999404,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726688976110,18/09/2024 19:49:36,1726663776110,-7,18/09/2024 05:49:36,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,12490.20000000298,12484.599999999999,12490.20000000298,12490.20000000298,12484.599999999999,12490.20000000298,1,12490.20000000298,0,0,,Click To Continue,Continue Button,3,object-65,instructions,,,,,,,,,,,,,,,,
4,1726688976138,18/09/2024 19:49:36,1726663776138,-7,18/09/2024 05:49:36,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726688985737,18/09/2024 19:49:45,1726663785737,-7,18/09/2024 05:49:45,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,9614.900000000001,9601.2,9614.900000000001,9614.900000000001,9601.2,9614.900000000001,1,9614.900000000001,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1726688985738,18/09/2024 19:49:45,1726663785738,-7,18/09/2024 05:49:45,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,10,4233.9000000000015,9601.2,9617.7,4233.9000000000015,9601.2,9617.7,1,4233.9000000000015,5383.799999999999,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1726688985750,18/09/2024 19:49:45,1726663785750,-7,18/09/2024 05:49:45,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.5,0,16.5,16.5,0,16.5,1,16.5,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1726688997627,18/09/2024 19:49:57,1726663797627,-7,18/09/2024 05:49:57,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,11921.400000002981,11917.8,11921.400000002981,11921.400000002981,11917.8,11921.400000002981,1,11921.400000002981,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1726688997635,18/09/2024 19:49:57,1726663797635,-7,18/09/2024 05:49:57,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,7,10184.3,11917.8,11930.29999999404,10184.3,11917.8,11930.29999999404,1,10184.3,1745.999999994041,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1726688997638,18/09/2024 19:49:57,1726663797638,-7,18/09/2024 05:49:57,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40147782,BLIND,11716976,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,911x430,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,1726679623460,18/09/2024 17:13:43,1726661623460,-5,18/09/2024 07:13:43,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
2,1726679629907,18/09/2024 17:13:49,1726661629907,-5,18/09/2024 07:13:49,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 12,eyep1y,1,continue,,5536.799999999998,5518.599999999999,5536.799999999998,5536.799999999998,5518.599999999999,5536.799999999998,1,5536.799999999998,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,,,,,,,,,,
3,1726679639331,18/09/2024 17:13:59,1726661639331,-5,18/09/2024 07:13:59,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 9,l1vn7l,2,continue,,9465.9,9449.1,9465.9,9465.9,9449.1,9465.9,1,9465.9,0,0,,Click To Continue,Text,2,object-28,instructions,,,,,,,,,,,,,,,,
4,1726679639401,18/09/2024 17:13:59,1726661639401,-5,18/09/2024 07:13:59,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,info,,16.799999999999272,0,16.799999999999272,16.799999999999272,0,16.799999999999272,1,16.799999999999272,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
5,1726679648342,18/09/2024 17:14:08,1726661648342,-5,18/09/2024 07:14:08,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,continue,,8950.400000000001,8933.5,8950.400000000001,8950.400000000001,8933.5,8950.400000000001,1,8950.400000000001,0,0,,Click To Continue,Continue Button,9,object-66,instructions,,,,,,,,,,,,,,,,
6,1726679648344,18/09/2024 17:14:08,1726661648344,-5,18/09/2024 07:14:08,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 10,xskzd4,3,response,,8950.400000000001,8933.5,8950.400000000001,8950.400000000001,8933.5,8950.400000000001,1,8950.400000000001,0,0,,Slider,Slider,5,object-39,instructions,,,,,,,,,,,,,,,,
7,1726679648378,18/09/2024 17:14:08,1726661648378,-5,18/09/2024 07:14:08,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,info,,16.900000000001455,0,16.900000000001455,16.900000000001455,0,16.900000000001455,1,16.900000000001455,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
8,1726679656603,18/09/2024 17:14:16,1726661656603,-5,18/09/2024 07:14:16,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,continue,,8360.299999952316,8352.300000000003,8360.299999952316,8360.299999952316,8352.300000000003,8360.299999952316,1,8360.299999952316,0,0,,Click To Continue,Continue Button,9,object-67,instructions,,,,,,,,,,,,,,,,
9,1726679656631,18/09/2024 17:14:16,1726661656631,-5,18/09/2024 07:14:16,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,1,instructions,Screen 11,fgeg47,4,response,,8371.200000000004,8352.300000000003,8371.200000000004,8371.200000000004,8352.300000000003,8371.200000000004,1,8371.200000000004,0,0,,Slider,Slider,5,object-61,instructions,,,,,,,,,,,,,,,,
10,1726679656640,18/09/2024 17:14:16,1726661656640,-5,18/09/2024 07:14:16,187004,3,task-o7gw,repeat-3dmk#1->-repeat-tj2w#1,40145328,BLIND,11716974,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1366x768,1366x641,,,0,Subjective rating Practice,7,Accurate,2,,Accurate,emo_prac,emo_prac,,,,,,info,END,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
END OF FILE
