Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: border,Spreadsheet: Screen,Spreadsheet: timing,Manipulation: Spreadsheet
1,1726595813904,17/09/2024 17:56:53,1726577813904,-5,17/09/2024 07:56:53,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,
2,1726595841451,17/09/2024 17:57:21,1726577841451,-5,17/09/2024 07:57:21,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 1,djhvrt,1,continue,,27349.000000000004,27332.2,27349.000000000004,27349.000000000004,27332.2,27349.000000000004,1,27349.000000000004,0,0,,Click To Continue,Continue Button,6,object-20,instructions,,,,,,
3,1726595844015,17/09/2024 17:57:24,1726577844015,-5,17/09/2024 07:57:24,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,2,continue,,2586.6999999642358,2583.4000000000015,2586.6999999642358,2586.6999999642358,2583.4000000000015,2586.6999999642358,1,2586.6999999642358,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,
4,1726595847012,17/09/2024 17:57:27,1726577847012,-5,17/09/2024 07:57:27,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,3,timedOut,,3000.2999999642343,2999.699999999997,3000.2999999642343,3000.2999999642343,2999.699999999997,3000.2999999642343,1,3000.2999999642343,0,0,,Time Limit,screen,0,screen,instructions,,,,,,
5,1726595847693,17/09/2024 17:57:27,1726577847693,-5,17/09/2024 07:57:27,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,F,681.5999999642372,666.5,681.5999999642372,681.5999999642372,666.5,681.5999999642372,1,681.5999999642372,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo.jpg,#FF69B4,,1000ms,
6,1726595848678,17/09/2024 17:57:28,1726577848678,-5,17/09/2024 07:57:28,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,1,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo.jpg,#FF69B4,,1000ms,
7,1726595849336,17/09/2024 17:57:29,1726577849336,-5,17/09/2024 07:57:29,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Trials,mxeghn,1,response,F,658.0999999642372,649.9000000000015,658.0999999642372,658.0999999642372,649.9000000000015,658.0999999642372,1,658.0999999642372,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
8,1726595850328,17/09/2024 17:57:30,1726577850328,-5,17/09/2024 07:57:30,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,2,image,Screen 2,2al84i,2,continue,,500,500,500,500,500,500,1,500,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_2.jpg,#DC143C,,1000ms,
9,1726595850813,17/09/2024 17:57:30,1726577850813,-5,17/09/2024 07:57:30,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Trials,mxeghn,1,response,F,485.4999999761567,483.29999999999563,485.4999999761567,485.4999999761567,483.29999999999563,485.4999999761567,1,485.4999999761567,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
10,1726595851811,17/09/2024 17:57:31,1726577851811,-5,17/09/2024 07:57:31,187004,3,task-wzke,repeat-3dmk#1,40124049,BLIND,11716973,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 128.0.0.0,1536x960,1528x836,,,0,Sustained Attention Practice (Clone),4,Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,Spreadsheet1,3,image,Screen 2,2al84i,2,continue,,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,500.09999999999854,1,500.09999999999854,0,0,,Fixation Timing,Fixation,1,object-24,image,F,instr_photo_3.jpg,#E2752C,,1000ms,
