Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: mem_type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
21,1728576909100,10/10/2024 16:15:09,1728558909100,-5,10/10/2024 06:15:09,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,3,image,Screen 2,7vpf45,2,response,3,3596.600000000002,4096.200000000001,4101.599999952316,3596.600000000002,4096.200000000001,4101.599999952316,1,3596.600000000002,504.9999999523134,0,,Slider,Slider,4,object-78,image,47,fdc9e62b6263dadd11d44260bb730622.jpg,target,,F,,target,
22,1728576909169,10/10/2024 16:15:09,1728558909169,-5,10/10/2024 06:15:09,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,4,image,Screen 1,l8m57c,1,info,,16,0,16,16,0,16,1,16,0,0,,Slider,Slider,4,object-51,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,target,
23,1728576912222,10/10/2024 16:15:12,1728558912222,-5,10/10/2024 06:15:12,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,4,image,Screen 1,l8m57c,1,continue,,3127.7000001430497,3114.0999999999985,3127.7000001430497,3127.7000001430497,3114.0999999999985,3127.7000001430497,1,3127.7000001430497,0,0,,Click To Continue,Continue Button,7,object-69,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,target,
24,1728576912237,10/10/2024 16:15:12,1728558912237,-5,10/10/2024 06:15:12,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,4,image,Screen 1,l8m57c,1,response,6,2597.5,3114.0999999999985,3130.4000000000015,2597.5,3114.0999999999985,3130.4000000000015,1,2597.5,532.9000000000015,0,,Slider,Slider,4,object-51,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,target,
25,1728576912258,10/10/2024 16:15:12,1728558912258,-5,10/10/2024 06:15:12,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,4,image,Screen 2,7vpf45,2,info,,16.30000000000291,0,16.30000000000291,16.30000000000291,0,16.30000000000291,1,16.30000000000291,0,0,,Slider,Slider,4,object-78,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,target,
26,1728576917631,10/10/2024 16:15:17,1728558917631,-5,10/10/2024 06:15:17,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,4,image,Screen 2,7vpf45,2,continue,,5421.700000047684,5411.300000000003,5421.700000047684,5421.700000047684,5411.300000000003,5421.700000047684,1,5421.700000047684,0,0,,Click To Continue,Continue Button,7,object-82,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,target,
27,1728576917632,10/10/2024 16:15:17,1728558917632,-5,10/10/2024 06:15:17,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,4,image,Screen 2,7vpf45,2,response,2,4911.5,5411.300000000003,5422.799999952316,4911.5,5411.300000000003,5422.799999952316,1,4911.5,511.2999999523163,0,,Slider,Slider,4,object-78,image,279,7a8791914e3ca49c66c1d6907761707b.jpg,target,,F,,target,
28,1728576917701,10/10/2024 16:15:17,1728558917701,-5,10/10/2024 06:15:17,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,5,image,Screen 1,l8m57c,1,info,,16.30000000000291,0,16.30000000000291,16.30000000000291,0,16.30000000000291,1,16.30000000000291,0,0,,Slider,Slider,4,object-51,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
29,1728576920865,10/10/2024 16:15:20,1728558920865,-5,10/10/2024 06:15:20,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,5,image,Screen 1,l8m57c,1,continue,,3243.900000047681,3230.5,3243.900000047681,3243.900000047681,3230.5,3243.900000047681,1,3243.900000047681,0,0,,Click To Continue,Continue Button,7,object-69,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
30,1728576920866,10/10/2024 16:15:20,1728558920866,-5,10/10/2024 06:15:20,187004,3,task-e25r,repeat-3dmk#6->-repeat-tj2w#3,40543915,BLIND,11824228,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1366x768,1366x653,,,0,Subjective rating task (Clone),5,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,emo_2_try,emo_2_try,5,image,Screen 1,l8m57c,1,response,8,2813.699999999997,3230.5,3245.9999999523134,2813.699999999997,3230.5,3245.9999999523134,1,2813.699999999997,432.2999999523163,0,,Slider,Slider,4,object-51,image,287,4c9b824221ea465e852f409c11d0bb60.jpg,target,,F,,target,
