Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
1,1736519671992,10/01/2025 14:34:31,1736501671992,-5,10/01/2025 04:34:31,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736519732672,10/01/2025 14:35:32,1736501732672,-5,10/01/2025 04:35:32,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,timedOut,,60003.39999999404,60000.40000000001,60003.39999999404,60003.39999999404,60000.40000000001,60003.39999999404,1,60003.39999999404,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,
3,1736519767294,10/01/2025 14:36:07,1736501767294,-5,10/01/2025 04:36:07,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,34625.09999998807,34616.5,34625.09999998807,34625.09999998807,34616.5,34625.09999998807,1,34625.09999998807,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1736519775671,10/01/2025 14:36:15,1736501775671,-5,10/01/2025 04:36:15,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,8384.899999999994,8383.199999999997,8384.899999999994,8384.899999999994,8383.199999999997,8384.899999999994,1,8384.899999999994,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1736519873112,10/01/2025 14:37:53,1736501873112,-5,10/01/2025 04:37:53,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,97442.89999998808,97433.40000000001,97442.89999998808,97442.89999998808,97433.40000000001,97442.89999998808,1,97442.89999998808,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736519935575,10/01/2025 14:38:55,1736501935575,-5,10/01/2025 04:38:55,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,62473.09999998211,62466.899999999965,62473.09999998211,62473.09999998211,62466.899999999965,62473.09999998211,1,62473.09999998211,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736519935581,10/01/2025 14:38:55,1736501935581,-5,10/01/2025 04:38:55,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#1,42388476,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,263557,,,,0,,,,,,,,,,,,,,,,
1,1736519997365,10/01/2025 14:39:57,1736501997365,-5,10/01/2025 04:39:57,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736520000239,10/01/2025 14:40:00,1736502000239,-5,10/01/2025 04:40:00,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,2836.4999999880793,2833.7,2836.4999999880793,2836.4999999880793,2833.7,2836.4999999880793,1,2836.4999999880793,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1736520001855,10/01/2025 14:40:01,1736502001855,-5,10/01/2025 04:40:01,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,1619.1000000000004,1616.6000000000004,1619.1000000000004,1619.1000000000004,1616.6000000000004,1619.1000000000004,1,1619.1000000000004,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1736520002447,10/01/2025 14:40:02,1736502002447,-5,10/01/2025 04:40:02,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,594.0999999940395,583.3000000000002,594.0999999940395,594.0999999940395,583.3000000000002,594.0999999940395,1,594.0999999940395,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1736520002935,10/01/2025 14:40:02,1736502002935,-5,10/01/2025 04:40:02,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,498.9999999821184,483.39999999999964,498.9999999821184,498.9999999821184,483.39999999999964,498.9999999821184,1,498.9999999821184,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1736520010967,10/01/2025 14:40:10,1736502010967,-5,10/01/2025 04:40:10,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,8048.3,8033.500000000001,8048.3,8048.3,8033.500000000001,8048.3,1,8048.3,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1736520010974,10/01/2025 14:40:10,1736502010974,-5,10/01/2025 04:40:10,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#2,42388716,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,END,,,13576,,,,0,,,,,,,,,,,,,,,,
1,1736520049977,10/01/2025 14:40:49,1736502049977,-5,10/01/2025 04:40:49,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,42388758,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1736520051072,10/01/2025 14:40:51,1736502051072,-5,10/01/2025 04:40:51,153647,18,task-x1rt,repeat-3dmk#2->-repeat-ku6w#3,42388758,BLIND,12371846,,complete,,67812806646e84ae634178ab,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1536x730,,,0,Memory Task (instr only),4,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Inaccurate~Accurate,,Accurate,,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,1069.2999999940394,1066.6999999999998,1069.2999999940394,1069.2999999940394,1066.6999999999998,1069.2999999940394,1,1069.2999999940394,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
