Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,Spreadsheet,,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet,Manipulation: undefined
3,1728925162881,14/10/2024 16:59:22,1728925162881,0,14/10/2024 16:59:22,187004,3,task-efz1,,40630244,BLIND,11852314,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,11804.297999999999,11787.597999999998,11804.297999999999,11804.297999999999,11787.597999999998,11804.297999999999,1,11804.297999999999,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
4,1728925162889,14/10/2024 16:59:22,1728925162889,0,14/10/2024 16:59:22,187004,3,task-efz1,,40630244,BLIND,11852314,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x641,,,0,Study Welcome,13,Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728925439602,14/10/2024 17:03:59,1728911039602,-4,14/10/2024 09:03:59,187004,3,task-efz1,,40630412,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728925488807,14/10/2024 17:04:48,1728911088807,-4,14/10/2024 09:04:48,187004,3,task-efz1,,40630412,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,49231.77000004768,49219.57,49231.77000004768,49231.77000004768,49219.57,49231.77000004768,1,49231.77000004768,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728925488812,14/10/2024 17:04:48,1728911088812,-4,14/10/2024 09:04:48,187004,3,task-efz1,,40630412,BLIND,11852361,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x738,,,0,Study Welcome,13,Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728929265919,14/10/2024 18:07:45,1728914865919,-4,14/10/2024 10:07:45,187004,3,task-efz1,,40632229,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728929293521,14/10/2024 18:08:13,1728914893521,-4,14/10/2024 10:08:13,187004,3,task-efz1,,40632229,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,27613.000000000004,27596.2,27613.000000000004,27613.000000000004,27596.2,27613.000000000004,1,27613.000000000004,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728929293526,14/10/2024 18:08:13,1728914893526,-4,14/10/2024 10:08:13,187004,3,task-efz1,,40632229,BLIND,11852914,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1304x681,,,0,Study Welcome,13,Inaccurate~Accurate,1,Accurate,,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
1,1728931761467,14/10/2024 18:49:21,1728917361467,-4,14/10/2024 10:49:21,187004,3,task-efz1,,40633276,BLIND,11853201,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 132.0,1920x1080,1920x1080,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,
2,1728931879091,14/10/2024 18:51:19,1728917479091,-4,14/10/2024 10:51:19,187004,3,task-efz1,,40633276,BLIND,11853201,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 132.0,1920x1080,1920x1080,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,1,IMG,Study Welcome,gc8r1z,1,continue,,117627.62,117622.5,117627.62,117627.62,117622.5,117627.62,1,117627.62,0,0,,Click To Continue,Continue Button,2,object-4,IMG,,
3,1728931879097,14/10/2024 18:51:19,1728917479097,-4,14/10/2024 10:51:19,187004,3,task-efz1,,40633276,BLIND,11853201,,complete,,,computer,Desktop or Laptop,Linux x86_64,Firefox 132.0,1920x1080,1920x1080,,,0,Study Welcome,13,Accurate,2,,Accurate,Spreadsheet1,,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,,
END OF FILE
