Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: memory,Spreadsheet: randomise,Spreadsheet: img,Manipulation: Spreadsheet
21,1737474922532,21/01/2025 15:55:22,1737456922532,-5,21/01/2025 05:55:22,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,20,image,Screen 3,zz7hbh,1,response,1,727.6000000238419,716.1999999999971,727.6000000238419,727.6000000238419,716.1999999999971,727.6000000238419,1,727.6000000238419,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,6cb2b2a420aafa64f282ef22e112d0b2.jpg,
22,1737474923268,21/01/2025 15:55:23,1737456923268,-5,21/01/2025 05:55:23,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,21,image,Screen 3,zz7hbh,1,response,1,747.699999976161,732.9000000000087,747.699999976161,747.699999976161,732.9000000000087,747.699999976161,1,747.699999976161,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,2a608dc6d5195d76ed0be5bb46e5922e.jpg,
23,1737474924027,21/01/2025 15:55:24,1737456924027,-5,21/01/2025 05:55:24,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,22,image,Screen 3,zz7hbh,1,response,1,773.500000023836,766.2999999999884,773.500000023836,773.500000023836,766.2999999999884,773.500000023836,1,773.500000023836,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,d8f1bd0679a210b6b43880a48c128c94.jpg,
24,1737474924762,21/01/2025 15:55:24,1737456924762,-5,21/01/2025 05:55:24,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,23,image,Screen 3,zz7hbh,1,response,4,742.499999976164,733,742.499999976164,742.499999976164,733,742.499999976164,1,742.499999976164,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,ff52ebec9d07da7fd2f4fc3dd5ab07fa.jpg,
25,1737474925367,21/01/2025 15:55:25,1737456925367,-5,21/01/2025 05:55:25,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,24,image,Screen 3,zz7hbh,1,response,1,614.7999999880849,599.5,614.7999999880849,614.7999999880849,599.5,614.7999999880849,1,614.7999999880849,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,2f3e68a37d68e5bab426786d2ae708cf.jpg,
26,1737474926031,21/01/2025 15:55:26,1737456926031,-5,21/01/2025 05:55:26,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,25,image,Screen 3,zz7hbh,1,response,4,678.7999999880849,666.4000000000087,678.7999999880849,678.7999999880849,666.4000000000087,678.7999999880849,1,678.7999999880849,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,d5b5180e8720bf487dc9154b77cb6821.jpg,
27,1737474926829,21/01/2025 15:55:26,1737456926829,-5,21/01/2025 05:55:26,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,26,image,Screen 3,zz7hbh,1,response,1,811.0999999761552,799.5999999999913,811.0999999761552,811.0999999761552,799.5999999999913,811.0999999761552,1,811.0999999761552,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,fe8a11cc838003636cbdcb32160e1153.jpg,
28,1737474927918,21/01/2025 15:55:27,1737456927918,-5,21/01/2025 05:55:27,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,27,image,Screen 3,zz7hbh,1,response,4,1099.3000000000175,1082.7000000000116,1099.3000000000175,1099.3000000000175,1082.7000000000116,1099.3000000000175,1,1099.3000000000175,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,Landscapes_135_h.jpg,
29,1737474928720,21/01/2025 15:55:28,1737456928720,-5,21/01/2025 05:55:28,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,28,image,Screen 3,zz7hbh,1,response,4,818.8999999999942,816.1999999999971,818.8999999999942,818.8999999999942,816.1999999999971,818.8999999999942,1,818.8999999999942,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,target,1,1e7ce32a3cbdae096a502e6c8076f79b.jpg,
30,1737474929379,21/01/2025 15:55:29,1737456929379,-5,21/01/2025 05:55:29,153647,19,task-6sfn,repeat-3dmk#2->-repeat-tj2w#3,42630650,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (Clone 3),10,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_resampled2,memory_resampled2,29,image,Screen 3,zz7hbh,1,response,4,662.500000011918,649.6999999999971,662.500000011918,662.500000011918,649.6999999999971,662.500000011918,1,662.500000011918,0,0,,Keyboard Response,Image,1,object-1907,image,target,F,filler,1,2e736b206488e9fae823363bdfc23722.jpg,
