Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: number,Spreadsheet: img,Spreadsheet: type,Spreadsheet: answer,Spreadsheet: border,Spreadsheet: memory,Manipulation: Spreadsheet
4,1737474723908,21/01/2025 15:52:03,1737456723908,-5,21/01/2025 05:52:03,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,829.1000000357635,816.1000000000004,829.1000000357635,829.1000000357635,816.1000000000004,829.1000000357635,1,829.1000000357635,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1737474724356,21/01/2025 15:52:04,1737456724356,-5,21/01/2025 05:52:04,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,460.8000000476841,449.8000000000011,460.8000000476841,460.8000000476841,449.8000000000011,460.8000000476841,1,460.8000000476841,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1737474725247,21/01/2025 15:52:05,1737456725247,-5,21/01/2025 05:52:05,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,902.000000047683,899.3999999999996,902.000000047683,902.000000047683,899.3999999999996,902.000000047683,1,902.000000047683,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
7,1737474725250,21/01/2025 15:52:05,1737456725250,-5,21/01/2025 05:52:05,153647,19,task-i3u4,repeat-3dmk#2->-repeat-tj2w#2,42630514,BLIND,12435175,,complete,,678fbd94798f300a6b69ccfc,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x945,,,0,Memory Task (instr only),4,Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,END,,,7149,,,,0,,,,,,,,,,,,,,,,
1,1737474788648,21/01/2025 15:53:08,1737453188648,-6,21/01/2025 03:53:08,153647,19,task-i3u4,repeat-3dmk#5->-repeat-tj2w#1,42630536,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,
2,1737474794014,21/01/2025 15:53:14,1737453194014,-6,21/01/2025 03:53:14,153647,19,task-i3u4,repeat-3dmk#5->-repeat-tj2w#1,42630536,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 1,9emqwl,1,continue,,4514.200000000001,4498.4000000000015,4514.200000000001,4514.200000000001,4498.4000000000015,4514.200000000001,1,4514.200000000001,0,0,,Click To Continue,Continue Button,2,object-4,instructions,,,,,,,
3,1737474808903,21/01/2025 15:53:28,1737453208903,-6,21/01/2025 03:53:28,153647,19,task-i3u4,repeat-3dmk#5->-repeat-tj2w#1,42630536,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 2,rbq82w,2,continue,,14903.8,14894.999999999996,14903.8,14903.8,14894.999999999996,14903.8,1,14903.8,0,0,,Click To Continue,Text,10,object-62,instructions,,,,,,,
4,1737474814661,21/01/2025 15:53:34,1737453214661,-6,21/01/2025 03:53:34,153647,19,task-i3u4,repeat-3dmk#5->-repeat-tj2w#1,42630536,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 4,8hhdnx,3,continue,,5767.800000000003,5764.800000000003,5767.800000000003,5767.800000000003,5764.800000000003,5767.800000000003,1,5767.800000000003,0,0,,Click To Continue,Text,10,object-80,instructions,,,,,,,
5,1737474821058,21/01/2025 15:53:41,1737453221058,-6,21/01/2025 03:53:41,153647,19,task-i3u4,repeat-3dmk#5->-repeat-tj2w#1,42630536,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 6,5bug7j,4,continue,,6397.799999999996,6381.0999999999985,6397.799999999996,6397.799999999996,6381.0999999999985,6397.799999999996,1,6397.799999999996,0,0,,Click To Continue,Text,10,object-108,instructions,,,,,,,
6,1737474826480,21/01/2025 15:53:46,1737453226480,-6,21/01/2025 03:53:46,153647,19,task-i3u4,repeat-3dmk#5->-repeat-tj2w#1,42630536,BLIND,12435162,,complete,,678fbd5753d94ce99f315d84,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1280x800,1280x673,,,0,Memory Task (instr only),4,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,2,,Inaccurate~Inaccurate~Inaccurate~Inaccurate~Accurate,,Inaccurate~Accurate,memory_version_1,memory_version_1,1,instructions,Screen 7,2p8goo,5,continue,,5440.9000000000015,5431.4000000000015,5440.9000000000015,5440.9000000000015,5431.4000000000015,5440.9000000000015,1,5440.9000000000015,0,0,,Click To Continue,Text,4,object-123,instructions,,,,,,,
