Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-ck1c,randomiser-8rl3,branch-tpdd,branch-qy9p,branch-phuz,branch-3j3b,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: answer,Spreadsheet: img,Spreadsheet: Screen,Spreadsheet: answer2,Spreadsheet: answer3,Manipulation: Spreadsheet,Store: correct2,Store: Total2
5,1737475605152,21/01/2025 16:06:45,1737457605152,-5,21/01/2025 06:06:45,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,25644.299999988078,25613.799999999996,25644.299999988078,25644.299999988078,25613.799999999996,25644.299999988078,1,25644.299999988078,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1737475612640,21/01/2025 16:06:52,1737457612640,-5,21/01/2025 06:06:52,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,4,6519.500000011918,6515.699999999997,6519.500000011918,6519.500000011918,6515.699999999997,6519.500000011918,0,6519.500000011918,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1737475613652,21/01/2025 16:06:53,1737457613652,-5,21/01/2025 06:06:53,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#1,42631138,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,46030,,,,0,,,,,,,,,,,,,,,,,
1,1737475673303,21/01/2025 16:07:53,1737457673303,-5,21/01/2025 06:07:53,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,
2,1737475676434,21/01/2025 16:07:56,1737457676434,-5,21/01/2025 06:07:56,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 2,1kaj8e,1,continue,,3173.156,3148.7560000000003,3173.156,3173.156,3148.7560000000003,3173.156,1,3173.156,0,0,,Click To Continue,Continue Button,2,object-7,instructions,,,,,,,0,0
3,1737475679427,21/01/2025 16:07:59,1737457679427,-5,21/01/2025 06:07:59,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,instructions,Screen 3,j5lb3b,2,timedOut,,3018.0999999880787,3016.5,3018.0999999880787,3018.0999999880787,3016.5,3018.0999999880787,1,3018.0999999880787,0,0,,Time Limit,screen,0,screen,instructions,,,,,,,0,0
4,1737475683889,21/01/2025 16:08:03,1737457683889,-5,21/01/2025 06:08:03,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Trials,mxeghn,1,response,1,4462.0000000238415,4449.699999999999,4462.0000000238415,4462.0000000238415,4449.699999999999,4462.0000000238415,1,4462.0000000238415,0,0,,Keyboard Response,Keyboard Response,2,object-4,image,1,instr_photo_3.jpg,Screen 3,5,3,,1,1
5,1737475695836,21/01/2025 16:08:15,1737457695836,-5,21/01/2025 06:08:15,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 3,ornkij,2,response,3,10943.2,10915.3,10943.2,10943.2,10915.3,10943.2,1,10943.2,0,0,,Keyboard Response,Keyboard Response,2,object-25,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,2
6,1737475704417,21/01/2025 16:08:24,1737457704417,-5,21/01/2025 06:08:24,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,1,image,Screen 2,ou4ign,3,response,6,7611.000000011922,7582.399999999998,7611.000000011922,7611.000000011922,7582.399999999998,7611.000000011922,0,7611.000000011922,0,0,,Keyboard Response,Keyboard Response,3,object-22,image,1,instr_photo_3.jpg,Screen 3,5,3,,2,3
7,1737475705392,21/01/2025 16:08:25,1737457705392,-5,21/01/2025 06:08:25,153647,19,task-ugmz,repeat-3dmk#2->-repeat-ku6w#2,42631225,BLIND,12435268,,complete,,678fbd862ccc0994b94fd6b4,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1536x864,1536x738,,,0,Memory Practice Clone,7,Inaccurate~Accurate,1,Inaccurate~Inaccurate~Accurate,,Inaccurate~Inaccurate~Accurate,,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,31911,,,,0,,,,,,,,,,,,,,,,,
